Name,Class,Attack,AttackBonus,Defense,DefenseBonus,RulesText,FlavorText,Set,ArtPath
Rollin Hodgkin,Assassin,6,down,1,,"Rollin can't be killed while face-down. After Rollin attacks, discard him.",There's only purpose in life for me now.,The Main Cast,Hodgkin
Sir Olaf the Glutton,Soldier,1,,6,,"At the beginning of your start phase, draw a card.",More food!,The Main Cast,SirOlaf
"Sir Ymbert ""Limper"" Garthas",Soldier,0,,4,up,,Wanna know why they call me Limper?,Assassin's Guild,Limper
Dame Sela Tankcreed,Soldier,3,up,3,up,,A woman can do anything a man can. I'm proof of it.,Foreign Powers,DameSela
Sir Oddo the Deranged,Soldier,5,,2,,,Who's crazy? I'm not crazy! Die!,Assassin's Guild,SirOddo
Barbarian Bodyguard Ogg,Soldier,4,up,4,up,"After Ogg attacks, he loses 1 attack and 1 defense permanently (before face-up or face-down bonuses).",Ogg get tired fast. Ogg take nap.,Foreign Powers,Ogg
Captain Gunter Newgate,Soldier,4,up,4,up,,I serve ONLY his majesty.,The Main Cast,CaptainGunterNewgate
War Hero Hal Lancelot,Soldier,4,,4,,,"I think ""War Hero"" best describes someone who was smart enough to keep his head down.",Noble Guests,WarHeroLancelot
Sergeant Warrin Oldman,Soldier,1,,3,,"When Warrin is flipped up, each player gives you all face-up Soldiers they control.","Ten Hut! Get back into line, you idiots!",Foreign Powers,WarrenOldman
Sir Arthur Mourne,Soldier,4,,2,,The King can't be killed as long as Arthur is face-up.,I joined the army because that's what my mother wanted me to do.,The Main Cast,SirArthur
Sir Richard Leowulf,Soldier,4,,2,up,,Some shady fella asked me to look the other way at this party…,Foreign Powers,RichardLeowulf
Sir Bartholomew Theodorothaniel,Soldier,4,,2,up,,"I'm actually the third Bartholomew in my family, but the Sergeant told me to stop being an idiot.",Noble Guests,SirLongname
Sir Arthur Stout,Soldier,0,,4,up,,"There's a difference between fat and stout, my friend.",Foreign Powers,ArthurStout
Guardsman Terric Illbert,Soldier,1,,2,,"After Terric attacks, all cards the defending player controls are flipped up.","I was posted at the front door, what a boring gig.",Assassin's Guild,TerricIllbert
Gravekeeper Anathema,Commoner,1,,4,,"As an action, you may discard a card you control to choose another card from the discard pile and put it into play.",Even a lowly gravekeeper can be a skilled doctor…,The Main Cast,Anathema
Wench Helga,Commoner,1,,1,,"After a card attacks Helga, kill that card.",Only a fool attacks the wench while the barkeeper is around.,Noble Guests,WenchHelga
Chef Steven Michaelson,Commoner,4,up,1,,,"The way to a man's heart is through his stomach, all good assassins know this.",Foreign Powers,ChefGilbert
Serving Girl Emma,Commoner,3,up,2,,,"If you smile while you serve them the drinks, they tend to not try and grope you.",Noble Guests,ServingGirlEmma
Lance Wymund,Noble,1,,2,down,"If a King or Queen is face-up in play, Lance gets +7 attack.","I will never step on the people beneath me, unlike the others.",The Main Cast,LanceWymund
Mistress Eva,Commoner,2,,1,,"After Eva attacks, choose a card the defending player controls. That player gives that card to you. If Eva is still in play, give her to that player.","Be a good boy and hurt him for me, would you?",Assassin's Guild,MistressEva
Job the Butler,Commoner,2,,2,,"At the end of each player's turn, if that player controls fewer than three cards, that player draws cards equal to the difference and plays them face-up.","I was told to help everyone at the party, and that's what I intend to do.",Foreign Powers,JobTheButler
Court Jester Foolset,Commoner,1,,1,,"After Court Jester Foolset attacks, each player discards a card of their choice.","Behind the smiling grin, a jester's soul is usually morbid.",Assassin's Guild,CourtJester
Henry the Bard,Commoner,4,,4,,,"I used to carry a flute until one noble stuck it up my… Well, let's just say I'd rather sing now.",Foreign Powers,HenryTheBard
Blacksmith Roger Norman,Commoner,1,,2,,"While Roger is face-up, cards you control get +2 attack after facing bonuses.","Fire and steel, that's all I can smell at the end of the day.",Assassin's Guild,BlacksmithRoger
Nan the Disgruntled,Commoner,1,,6,,,"You can only take so many ""wench"" comments before you just snap.",The Main Cast,NanTheDisgruntled
Squire Terry Wynne,Commoner,3,up,2,,,"I try my best to be helpful, sire!",The Main Cast,SquireTerry
Alchemist Leon Brewster,Commoner,2,,1,,"While Leon is face-up, cards you control get +2 defense after facing bonuses.",The last batch I made caused a tree to grow out of the man's ears… Less wolfbane maybe...,Foreign Powers,AlchemistDucan
Dancer Isabella Pascoe,Commoner,1,,2,,"After Isabella attacks, shuffle the attacked card into the deck.","Dancing is like an art, do it well and it can capitivate anyone.",Foreign Powers,DancerIsabella
Doctor Pestilence ,Assassin,2,,6,,"If Doctor Pestilence is face-up, instead of drawing a card during your draw phase, look at the top two cards of the deck. You may discard both cards. If you don't, give one of them to the player of your choice face-down and draw the other one.",The only disease is life itself... and all must be cured of it's corruption…,Assassin's Guild,DrPestilence
Mary the Mute,Commoner,1,,2,,"While Mary is face-up, all other non-King cards lose all abilities.",,The Main Cast,MaryTheMute
